Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C20",0603,3,10uF,C96446
C2,0603,1,22uF,C2762594
"C21, C24",0402,2,1uF,C52923
"C22, C23, C25, C26, C27, C28, C29, C30, C31, C32, C35",0402,11,0.1uF,C1525
"C33, C34",0402,2,15pF,C86285
D1,D_SMB,1,SMBJ15A,C83846
D2,D_SOD-123F,1,BZT52H-A12,C7507853
D4,0603,1,LED,C965804
F1,1812,1,Littelfuse 1812L150/24MR,C142805
J1,TYPE-C-SMD_TYPE-C-6P-073,1,USB_C_Receptacle_PowerOnly_6P,C668623
J10,PinHeader_1x02_P2.54mm_Vertical,1,DECREASE,C32713268
J11,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
J13,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,C2937625
"J5, J6",PinHeader_1x04_P2.54mm_Vertical,2,Fan1_Connector,C2691448
J7,PinHeader_1x04_P2.54mm_Vertical,1,OLED,C2691448
J8,PinHeader_1x02_P2.54mm_Vertical,1,INCREASE,C32713268
J9,PinHeader_1x02_P2.54mm_Vertical,1,MODE,C32713268
L1,IND-SMD_L4.5-W4.1_SRP4020TA,1,SRP4020TA-2R2M,C719179
Q1,SOT-23,1,DMP3099L,C2940610
Q2,SOT-23,1,BSS138,C52895
"R1, R12, R3",0603,3,100K,C14675
"R13, R16, R28, R34",0402,4,10K,C60490
"R14, R15, R20, R27, R29, R30, R33",0402,7,1k,C106235
"R21, R22, R23, R24",0402,4,5.1K,C105872
"R25, R26",0402,2,27,C138021
"R31, R32",0402,2,4.7k,C105871
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,C720477
U1,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62162DSG,C2863597
U2,SOT-23,1,MCP1700x-330xxTT,C39051
U5,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,C2843335
U6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
Y2,CRYSTAL-SMD_4P-L2.5-W2.0-BL-1,1,ABM8-272-T3,C5261125
