Designator,Mid X,Mid Y,Rotation,Layer
C1,191.6,-58.08,90.0,top
C19,170.09,-49.65,180.0,top
C2,184.63,-56.42,90.0,top
C20,171.1,-55.42,180.0,top
C21,176.55,-75.08,270.0,top
C22,176.564411,-64.255589,90.0,top
C23,170.18,-58.08,90.0,top
C24,179.039411,-64.360589,45.0,top
C25,175.51,-75.07,270.0,top
C26,177.539411,-64.585589,90.0,top
C27,172.17,-57.36,90.0,top
C28,166.8,-69.5,180.0,top
C29,168.86,-65.84,180.0,top
C30,171.2,-58.1,90.0,top
C31,178.869411,-66.010589,0.0,top
C32,179.73,-70.42,0.0,top
C33,170.16,-77.2125,270.0,top
C34,175.61,-77.2825,90.0,top
C35,171.37,-59.79,180.0,top
D1,195.36,-47.01,270.0,top
D2,190.63,-50.56,270.0,top
D4,168.61,-74.7525,0.0,top
F1,183.29,-51.63,270.0,top
J1,186.84,-44.9825,180.0,top
J10,163.91,-53.255,180.0,top
J11,173.5,-43.47,180.0,top
J13,173.43,-82.17,90.0,top
J5,194.36,-66.48,0.0,top
J6,188.97,-75.37,270.0,top
J7,163.67,-71.955,180.0,top
J8,163.78,-61.595,180.0,top
J9,163.87,-45.43,180.0,top
L1,184.89,-62.89,180.0,top
Q1,187.9925,-54.13,180.0,top
Q2,182.81,-67.73,0.0,top
R1,191.58,-54.68,270.0,top
R12,187.17,-67.71,90.0,top
R13,190.17,-65.79,270.0,top
R14,189.65,-67.79,0.0,top
R15,187.42,-71.93,270.0,top
R16,189.28,-71.91,270.0,top
R20,189.63,-69.61,0.0,top
R21,187.58,-49.61,270.0,top
R22,186.26,-49.57,270.0,top
R23,174.89,-49.79,270.0,top
R24,172.15,-49.86,270.0,top
R25,175.5,-63.2,270.0,top
R26,174.2,-63.2,270.0,top
R27,179.005,-55.82,0.0,top
R28,169.43,-59.8,0.0,top
R29,173.8,-74.7,180.0,top
R3,183.96,-58.89,0.0,top
R30,185.19,-71.95,270.0,top
R31,167.95,-71.0,180.0,top
R32,168.0,-72.7,180.0,top
R33,171.3475,-74.7525,180.0,top
R34,180.75,-72.96,0.0,top
SW1,178.5,-52.45,270.0,top
SW2,180.26,-76.91,90.0,top
U1,187.6,-58.34,180.0,top
U2,170.88,-52.67,270.0,top
U5,170.5,-61.6,0.0,top
U6,173.71,-69.44,90.0,top
Y2,172.765,-77.1875,180.0,top
